FDRA,Station 1,Station 2,Station 3,Index,Fuel_Model,fd_chi2_ffp,fd_chi2_py,fd_chi2_diff,fd_pvalue_ffp,fd_pvalue_py,fd_pvalue_diff,fd_r2_ffp,fd_r2_py,fd_r2_diff,mfd_chi2_ffp,mfd_chi2_py,mfd_chi2_diff,mfd_pvalue_ffp,mfd_pvalue_py,mfd_pvalue_diff,mfd_r2_ffp,mfd_r2_py,mfd_r2_diff,lfd_chi2_ffp,lfd_chi2_py,lfd_chi2_diff,lfd_pvalue_ffp,lfd_pvalue_py,lfd_pvalue_diff,lfd_r2_ffp,lfd_r2_py,lfd_r2_diff,lfd_Days_ffp,lfd_Days_py,lfd_Days_diff,lfd_Total_ffp,lfd_Total_py,lfd_Total_diff
Baldy,352208,352329.0,,ERC,Y,14.3,30.0,15.7,0.0742,0.0002,-0.074,0.69,0.771,0.08100000000000007,8.62,30.0,21.380000000000003,0.3757,0.0002,-0.3755,0.31,0.775,0.465,9.99,30.0,20.009999999999998,0.1891,0.0002,-0.18889999999999998,0.23,0.573,0.34299999999999997,11,11,0,150,2550,2400
Baldy,352208,352332.0,,ERC,Y,16.7,30.0,13.3,0.0334,0.0002,-0.0332,0.67,0.718,0.04799999999999993,8.54,30.0,21.46,0.3824,0.0002,-0.38220000000000004,0.24,0.707,0.46699999999999997,17.15,30.0,12.850000000000001,0.0164,0.0002,-0.016200000000000003,0.19,0.509,0.319,11,11,0,150,2550,2400
Baldy,352208,352701.0,,ERC,Y,25.24,30.0,4.760000000000002,0.0014,0.0002,-0.0012,0.57,0.62,0.050000000000000044,4.29,30.0,25.71,0.8298,0.0002,-0.8296,0.61,0.85,0.24,16.78,30.0,13.219999999999999,0.0189,0.0002,-0.0187,0.29,0.532,0.24200000000000005,11,11,0,150,2549,2399
Baldy,352208,352712.0,,ERC,Y,21.71,30.0,8.29,0.0055,0.0002,-0.0053,0.56,0.683,0.123,10.47,30.0,19.53,0.2337,0.0002,-0.23349999999999999,0.39,0.566,0.17599999999999993,7.25,30.0,22.75,0.4038,0.0002,-0.4036,0.27,0.43,0.15999999999999998,11,11,0,150,2549,2399
Baldy,352208,353428.0,,ERC,Y,23.42,30.0,6.579999999999998,0.0029,0.0002,-0.0026999999999999997,0.53,0.602,0.07199999999999995,7.37,30.0,22.63,0.4974,0.0002,-0.49720000000000003,0.36,0.512,0.15200000000000002,7.55,30.0,22.45,0.3744,0.0002,-0.37420000000000003,0.27,0.672,0.402,11,11,0,150,2549,2399
Baldy,352327,352332.0,,ERC,Y,23.14,30.0,6.859999999999999,0.0032,0.0002,-0.003,0.49,0.434,-0.055999999999999994,6.13,30.0,23.87,0.6328,0.0002,-0.6326,0.32,0.652,0.332,18.2,30.0,11.8,0.0058,0.0002,-0.0056,0.15,0.294,0.144,11,11,0,150,2550,2400
Baldy,352327,352712.0,,ERC,Y,20.42,30.0,9.579999999999998,0.0089,0.0002,-0.0087,0.51,0.529,0.019000000000000017,10.59,30.0,19.41,0.2262,0.0002,-0.226,0.35,0.588,0.238,16.0,30.0,14.0,0.0251,0.0002,-0.024900000000000002,0.17,0.613,0.44299999999999995,11,11,0,150,2550,2400
Baldy,352329,352332.0,,ERC,Y,10.81,30.0,19.189999999999998,0.2127,0.0002,-0.2125,0.71,0.841,0.131,7.9,30.0,22.1,0.4434,0.0002,-0.44320000000000004,0.23,0.823,0.593,14.43,30.0,15.57,0.044,0.0002,-0.0438,0.17,0.438,0.268,11,11,0,150,2550,2400
Baldy,352329,352701.0,,ERC,Y,13.56,30.0,16.439999999999998,0.0939,0.0002,-0.09369999999999999,0.66,0.778,0.118,5.22,30.0,24.78,0.734,0.0002,-0.7338,0.49,0.797,0.30700000000000005,7.02,30.0,22.98,0.3189,0.0002,-0.31870000000000004,0.32,0.544,0.22400000000000003,11,11,0,150,2550,2400
Baldy,352329,352712.0,,ERC,Y,12.19,30.0,17.810000000000002,0.143,0.0002,-0.14279999999999998,0.67,0.782,0.11199999999999999,23.01,30.0,6.989999999999998,0.0034,0.0002,-0.0031999999999999997,0.24,0.48,0.24,6.38,30.0,23.62,0.4966,0.0002,-0.4964,0.23,0.464,0.234,11,11,0,150,2550,2400
