FDRA,Station 1,Station 2,Station 3,Index,Fuel_Model,fd_chi2_ffp,fd_chi2_py,fd_chi2_diff,fd_pvalue_ffp,fd_pvalue_py,fd_pvalue_diff,fd_r2_ffp,fd_r2_py,fd_r2_diff,mfd_chi2_ffp,mfd_chi2_py,mfd_chi2_diff,mfd_pvalue_ffp,mfd_pvalue_py,mfd_pvalue_diff,mfd_r2_ffp,mfd_r2_py,mfd_r2_diff,lfd_chi2_ffp,lfd_chi2_py,lfd_chi2_diff,lfd_pvalue_ffp,lfd_pvalue_py,lfd_pvalue_diff,lfd_r2_ffp,lfd_r2_py,lfd_r2_diff,lfd_Days_ffp,lfd_Days_py,lfd_Days_diff,lfd_Total_ffp,lfd_Total_py,lfd_Total_diff
Baldy,350915,352207.0,,ERC,Y,18.98,12.0,-6.98,0.015,0.1512,0.1362,0.59,0.72,0.13,7.23,11.0,3.7699999999999996,0.5119,0.2017,-0.31020000000000003,0.39,0.45,0.06,12.63,13.0,0.3699999999999992,0.0493,0.1118,0.0625,0.3,0.43,0.13,11,11,0,150,2549,2399
Baldy,350915,352712.0,,ERC,Y,20.03,12.0,-8.030000000000001,0.0102,0.1512,0.14100000000000001,0.59,0.62,0.030000000000000027,5.51,11.0,5.49,0.702,0.2017,-0.5003,0.57,0.45,-0.11999999999999994,4.13,13.0,8.870000000000001,0.6598,0.1118,-0.548,0.34,0.34,0.0,11,11,0,150,2549,2399
Baldy,352107,352207.0,,ERC,Y,13.64,12.0,-1.6400000000000006,0.0917,0.1512,0.0595,0.61,0.72,0.10999999999999999,12.22,11.0,-1.2200000000000006,0.1417,0.2017,0.06,0.2,0.4,0.2,9.65,13.0,3.3499999999999996,0.2094,0.1118,-0.0976,0.29,0.48,0.19,11,11,0,150,2549,2399
Baldy,352107,352712.0,,ERC,Y,13.75,12.0,-1.75,0.0886,0.1512,0.0626,0.62,0.72,0.09999999999999998,10.71,11.0,0.28999999999999915,0.219,0.2017,-0.01730000000000001,0.33,0.45,0.12,6.36,13.0,6.64,0.4984,0.1118,-0.3866,0.23,0.39,0.16,11,11,0,150,2549,2399
Baldy,352109,352207.0,,ERC,Y,9.91,12.0,2.09,0.2715,0.1512,-0.12030000000000002,0.69,0.72,0.030000000000000027,11.04,11.0,-0.03999999999999915,0.1993,0.2017,0.0023999999999999855,0.34,0.45,0.10999999999999999,9.12,13.0,3.880000000000001,0.2442,0.1118,-0.13240000000000002,0.35,0.31,-0.03999999999999998,11,11,0,150,2549,2399
Baldy,352109,352208.0,,ERC,Y,27.35,12.0,-15.350000000000001,0.0006,0.1512,0.1506,0.45,0.72,0.26999999999999996,11.99,11.0,-0.9900000000000002,0.1517,0.2017,0.04999999999999999,0.24,0.45,0.21000000000000002,6.66,13.0,6.34,0.4655,0.1118,-0.3537,0.4,0.24,-0.16000000000000003,11,11,0,150,2549,2399
Baldy,352109,352208.0,,ERC,Y,12.52,12.0,-0.5199999999999996,0.1295,0.1512,0.021699999999999997,0.71,0.72,0.010000000000000009,10.49,11.0,0.5099999999999998,0.232,0.2017,-0.03030000000000002,0.39,0.45,0.06,12.91,13.0,0.08999999999999986,0.0742,0.1118,0.037599999999999995,0.23,0.24,0.009999999999999981,11,11,0,150,2549,2399
Baldy,352109,352327.0,,ERC,Y,12.96,12.0,-0.9600000000000009,0.1134,0.1512,0.0378,0.67,0.69,0.019999999999999907,10.93,11.0,0.07000000000000028,0.2057,0.2017,-0.0040000000000000036,0.4,0.45,0.04999999999999999,11.82,13.0,1.1799999999999997,0.0662,0.1118,0.0456,0.21,0.21,0.0,11,11,0,150,2550,2400
Baldy,352109,352329.0,,ERC,Y,8.43,12.0,3.5700000000000003,0.3928,0.1512,-0.24159999999999998,0.79,0.72,-0.07000000000000006,10.6,11.0,0.40000000000000036,0.2255,0.2017,-0.023800000000000016,0.42,0.45,0.030000000000000027,10.97,13.0,2.0299999999999994,0.1398,0.1118,-0.02800000000000001,0.19,0.5,0.31,11,11,0,150,2550,2400
Baldy,352109,352332.0,,ERC,Y,10.8,12.0,1.1999999999999993,0.2131,0.1512,-0.06190000000000001,0.74,0.72,-0.020000000000000018,12.4,11.0,-1.4000000000000004,0.1341,0.2017,0.0676,0.29,0.45,0.16000000000000003,14.88,13.0,-1.8800000000000008,0.0212,0.1118,0.0906,0.2,0.22,0.01999999999999999,11,11,0,150,2550,2400
